score,n_comps,wm_task
,0,0bk
,0,0bk
,0,0bk
,0,0bk
,0,0bk
,0,0bk
,0,0bk
,0,0bk
88.33333333333333,1,0bk
83.88888888888889,1,0bk
80.55555555555556,1,0bk
86.66666666666667,1,0bk
88.33333333333333,1,0bk
87.77777777777777,1,0bk
85.0,1,0bk
84.44444444444444,1,0bk
100.0,2,0bk
100.0,2,0bk
99.44444444444444,2,0bk
100.0,2,0bk
99.44444444444444,2,0bk
99.44444444444444,2,0bk
100.0,2,0bk
100.0,2,0bk
100.0,3,0bk
100.0,3,0bk
100.0,3,0bk
100.0,3,0bk
100.0,3,0bk
100.0,3,0bk
100.0,3,0bk
100.0,3,0bk
,0,2bk
,0,2bk
,0,2bk
,0,2bk
,0,2bk
,0,2bk
,0,2bk
,0,2bk
57.77777777777777,1,2bk
61.66666666666667,1,2bk
57.77777777777777,1,2bk
58.88888888888889,1,2bk
66.11111111111111,1,2bk
58.333333333333336,1,2bk
63.888888888888886,1,2bk
60.0,1,2bk
92.22222222222223,2,2bk
93.33333333333333,2,2bk
90.55555555555556,2,2bk
92.77777777777779,2,2bk
87.22222222222223,2,2bk
91.66666666666666,2,2bk
87.77777777777777,2,2bk
91.11111111111111,2,2bk
100.0,3,2bk
100.0,3,2bk
99.44444444444444,3,2bk
100.0,3,2bk
100.0,3,2bk
100.0,3,2bk
100.0,3,2bk
99.44444444444444,3,2bk
